name,cas,cid,smiles,activity_result,toxicity_result,availability_result,activity_summary,toxicity_summary,availability_summary,activity_brief,activity_label,toxicity_brief,toxicity_label,availability_brief,availability_label,overall_evaluation,recommended_for_experiment
Propylene sulfide,1072-43-1,14072,S1CC1C,"I'm sorry, but I couldn't find any activity data for the molecule Propylene sulfide (PubChem CID: 14072) in the ChEMBL database.","The toxicity analysis for Propylene sulfide (CAS number 1072-43-1) reveals the following:

*   **Inhalation (Rat):** Acute toxicity with an LC50 of 3002.0 ppm.
*   **Oral (Rat):** Acute toxicity with an LD50 of 254.0 mg/kg.","The compound Propylene sulfide (SMILES: S1CC1C) is potentially purchasable. The best prices available are:

*   1900 USD for 1 mg with 95% purity, delivery in 22 working days.
*   1900 USD for 5 mg with 95% purity, delivery in 22 working days.
*   1900 USD for 10 mg with 95% purity, delivery in 22 working days.",No activity data was found in the ChEMBL database for Propylene sulfide.,Propylene sulfide exhibits acute toxicity in rats via inhalation (LC50 = 3002.0 ppm) and oral (LD50 = 254.0 mg/kg) routes.,"Propylene sulfide is potentially purchasable, with a cost of 1900 USD for 1, 5, or 10 mg at 95% purity, with a delivery time of 22 working days.",No activity data,No data,Acute toxicity,Mammalian toxicity,"Potentially purchasable, expensive","In stock, expensive","Propylene sulfide lacks activity data. It exhibits acute toxicity in rats, and its availability is limited by a high cost for small quantities. Given the lack of activity data and notable toxicity, it is not a promising candidate.",20
Theobromine,83-67-0,5429,CN1C=NC2=C1C(=O)NC(=O)N2C,"Theobromine (PubChem CID: 5429) has several recorded biological activities:

*   **Binding Affinity:** It binds to Nucleic Acid (K ass = 94.5 M-1) and Adenosine A1 receptor in rat brain (Ki = 105000.0 nM).
*   **Neurotoxicity:** It is considered non-toxic in mice at a dose of 110 nmol/mouse.
*   **PMP22 Modulation:** It shows inconclusive activity as a modulator of Human Peripheral Myelin Protein 22.
*   **Trypanosoma brucei phosphofructokinase Inhibition:** It shows inconclusive activity as an inhibitor of T. brucei phosphofructokinase.
*   **Antimalarial Activity:** It is inactive in primary qHTS assays for delayed death inhibitors of the malarial parasite plastid.
*   **Cholinesterase Inhibition:** It inhibits electric eel AChE (39.37% at 2 mg/ml) and horse BChE (3.88% at 2 mg/ml).
*   **SARS-CoV-2 Inhibition**: It inhibits cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence in Vero E6 cells infected with SARS-CoV-2.","Theobromine (CAS 83-67-0) toxicity data:

The toxicity data for Theobromine includes acute, short-term, subchronic, chronic, developmental, and reproductive toxicity, as well as genotoxicity.  The data covers various species including bacteria, rats, mice, hamsters, Chinese hamsters, rabbits, humans, goats, sheep, pigs, and horses.

Some key findings include:

*   **Acute Toxicity:** Oral LD50 values in rats range from 710 to 1265 mg/kg, and in mice, it is 837 mg/kg.
*   **Developmental Toxicity:**  Lowest Observed Effect Level (LEL) in rabbits is 21 mg/kg-day.
*   **Reproductive Toxicity:** LEL in mice is 375 mg/kg-day.
*   **Genotoxicity:**  Data indicates some genotoxic potential in both bacteria and mammalian cells.
*   **Subchronic/Chronic Toxicity:** Several Lowest Observed Effect Level (LEL) values are reported for subchronic and chronic exposure in rats, with some effects observed at 250 mg/kg-day.","The molecule Theobromine (SMILES: CN1C=NC2=C1C(=O)NC(=O)N2C) is available in stock with confirmed amount 5571 mg (MCULE-3914097400). The best prices are:
- 1 mg for 5 USD, 99% purity, delivery in 14 working days
- 5 mg for 5 USD, 99% purity, delivery in 14 working days
- 10 mg for 5 USD, 99% purity, delivery in 14 working days","Theobromine shows binding affinity to nucleic acids and adenosine receptors, inhibits cholinesterases and SARS-CoV-2, but is inactive against malaria. It has inconclusive activity regarding PMP22 modulation and Trypanosoma brucei phosphofructokinase inhibition.","Theobromine exhibits acute, developmental, reproductive, and subchronic/chronic toxicity in various animal models. It also demonstrates genotoxic potential. LEL values vary across species and exposure durations.","Theobromine is in stock (5571 mg available) and can be purchased at a reasonable price with 99% purity, delivery within 14 working days.","Enzyme inhibitor, SARS-CoV-2 inhibitor, receptor binder.","Enzyme inhibitor, Antiviral, Adenosine receptor binder","Genotoxic, developmental and reproductive toxicant.",Mammalian toxicity,In stock and reasonably priced.,In stock,"Theobromine demonstrates interesting activity, particularly against SARS-CoV-2 and as a cholinesterase inhibitor, but also exhibits toxicity including genotoxic and developmental effects. Its ready availability makes it accessible for initial experiments.",65
N-Acetyl-S-{[3-(methanesulfinyl)propyl]carbamothioyl}-L-cysteine,919990-34-4,71424642,CC(=O)N[C@@H](CSC(S)=NCCC[S+](C)[O-])C(=O)O,"I'm sorry, but I couldn't find any activity data for the molecule with PubChem CID 71424642 in the ChEMBL database.","I encountered an issue while retrieving the toxicity data for N-Acetyl-S-{[3-(methanesulfinyl)propyl]carbamothioyl}-L-cysteine (CAS number 919990-34-4) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I will try again later.",I was unable to retrieve the compound price and supplier information from the MCULE API using the SMILES string you provided. There might be an issue with the SMILES string or the availability of the compound in the MCULE database. I am sorry for not being able to fulfill your request.,No activity data was found in the ChEMBL database for the specified molecule.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,Compound price and supplier information could not be retrieved from the MCULE database.,No activity data,No data,Toxicity data unavailable,No data,Availability data unavailable,No data,"Due to the absence of activity, toxicity, and availability data, a comprehensive assessment of the molecule's suitability is not possible. The lack of data significantly hinders any informed decision-making regarding its potential as an algicidal agent.",10
Methyl (methylthio)acetate,16630-66-3,85522,COC(=O)CSC,"I'm sorry, but I couldn't retrieve any activity information for the molecule with PubChem CID 85522 from the ChEMBL database.","The toxicity analysis for Methyl (methylthio)acetate (CAS number 16630-66-3) reveals the following information:

*   **Species:** Rat
*   **Exposure Route:** Oral
*   **Risk Assessment Class:** Subchronic
*   **Toxicity Value:** NOAEL=250.0 mg/kg-day
*   **Units:** mg/kg-day

Additionally, another study with rats indicates:

*   **Exposure Route:** Not specified
*   **Risk Assessment Class:** Subchronic
*   **Toxicity Value:** NOEL=1.4 mg/kg-day
*   **Units:** mg/kg-day","The molecule Methyl (methylthio)acetate (SMILES: COC(=O)CSC) is available in stock with confirmed amount 185000 mg. The best prices are:
- 1 mg for $11 USD (delivery in 14 working days)
- 5 mg for $11 USD (delivery in 14 working days)
- 10 mg for $11 USD (delivery in 14 working days)",No activity data was found for PubChem CID 85522 in the ChEMBL database.,Two rat toxicity studies were found. One oral exposure study reported a NOAEL of 250.0 mg/kg-day. Another study with unspecified exposure route reported a NOEL of 1.4 mg/kg-day. Both studies classified the toxicity as subchronic.,"Methyl (methylthio)acetate is available in stock with a confirmed amount of 185000 mg. The price is $11 USD for 1 mg, 5 mg, or 10 mg, with a delivery time of 14 working days.",No activity data,No data,Subchronic toxicity in rats,Mammalian toxicity,"In stock, reasonable price",In stock,"The molecule is readily available and has some subchronic toxicity data reported in rats. However, no activity data was found in the ChEMBL database. Therefore, its potential as an algicide cannot be assessed without further investigation.",40
"4(1H)-Quinazolinone, 1-methyl-",3476-68-4,18992,CN1C=NC(=O)C2=CC=CC=C21,"I'm sorry, I couldn't find activity data for the molecule with PubChem CID 18992 in the ChEMBL database.","I encountered an issue while retrieving the toxicity data for the molecule 4(1H)-Quinazolinone, 1-methyl (CAS number 3476-68-4). The EPA database returned the data in an unexpected format, which I was unable to process. I will need to investigate further to provide you with the toxicity information.","The molecule CN1C=NC(=O)C2=CC=CC=C21 (4(1H)-Quinazolinone, 1-methyl-) is available in stock. The best prices are as follows:

*   1 mg at $85 USD (95% purity, 12 working days delivery)
*   5 mg at $85 USD (95% purity, 12 working days delivery)
*   10 mg at $85 USD (95% purity, 12 working days delivery)

The confirmed amount available is 250 mg.",No activity data was found for the molecule in the ChEMBL database.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,The molecule is available in stock at a price of $85 USD for 1-10 mg with 95% purity and a delivery time of 12 working days. A confirmed amount of 250 mg is available.,No activity data,No data,Toxicity data unavailable,No data,"In stock, relatively expensive","In stock, expensive","Due to the absence of both activity and toxicity data, it is difficult to assess the molecule's suitability. While the compound is available, the cost appears relatively high for small quantities. Further investigation is required to determine activity and toxicity before a definitive evaluation can be made.",30
Norloline,4839-19-4,906672,N[C@@H]1[C@H]2[C@@H]3CCN2C[C@H]1O3,"I'm sorry, but I couldn't retrieve any activity information for the molecule with PubChem CID 906672 from the ChEMBL database.","I encountered an error when trying to fetch the toxicity data for Norloline (CAS number 4839-19-4). I will try again in case it was a temporary issue. If the issue persists, I may not be able to provide the toxicity information you requested at this time.","OK. I have analyzed the availability of the molecule with SMILES N[C@@H]1[C@H]2[C@@H]3CCN2C[C@H]1O3. The molecule is available in stock. The best prices are: 189 USD for 1 mg (95% purity, 15 working days delivery), 487 USD for 5 mg (95% purity, 15 working days delivery), and 689 USD for 10 mg (95% purity, 15 working days delivery). The MCULE ID is MCULE-6084552423.",No activity data was found in the ChEMBL database for this molecule.,An error occurred while attempting to retrieve toxicity data for this molecule.,"The molecule is available in stock with prices ranging from 189 USD/mg to 689 USD/10mg, with 95% purity and a delivery time of 15 working days. MCULE ID is provided.",No activity data,No data,Toxicity data unavailable,No data,In stock,In stock,"Due to the lack of activity and toxicity data, and despite the availability of the molecule, it is difficult to provide a comprehensive evaluation. Further attempts should be made to obtain the missing data before proceeding with experimental validation.",30
3-(3-methylbut-2-en-1-yl)-3H-purin-6-amine,10091-84-6,135438588,CC(=CCN1C=NC(=C2C1=NC=N2)N)C,"I'm sorry, I couldn't find activity data for the molecule with PubChem CID 135438588 in the ChEMBL database.","I encountered an issue while trying to fetch the toxicity data for the molecule with CAS number 10091-84-6. The EPA database returned the data in an unexpected format, which I was unable to parse. I will need to investigate this further to provide you with the toxicity information.","The molecule with SMILES CC(=CCN1C=NC(=C2C1=NC=N2)N)C (MCULE-6194398709) is available in stock. Here are some of the best prices:

*   1 mg, 92% purity: $100 USD, delivery in 15 working days
*   5 mg, 92% purity: $291 USD, delivery in 15 working days
*   10 mg, 97% purity: $429 USD, delivery in 27 working days",No activity data was found for the molecule in the ChEMBL database.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,The molecule is available in stock. Prices range from $100 for 1mg (92% purity) to $429 for 10mg (97% purity). Delivery times vary between 15 and 27 working days.,No activity data,No data,Toxicity data unavailable,No data,In stock,In stock,"The molecule's suitability is difficult to determine due to missing activity and toxicity data. It is available for purchase, but further information is needed before recommending it for experimentation.",30
Goniodiol 7-acetate,96422-53-6,126414,CC(=O)O[C@@H]([C@H]1CC=CC(=O)O1)[C@@H](C2=CC=CC=C2)O,"According to the ChEMBL database, Goniodiol 7-acetate (PubChem CID: 126414) has shown activity in the following assays:

*   Cytotoxicity against human KB cells (ED50 < 0.1 ug/ml)
*   Cytotoxicity against mouse P388 cells (ED50 < 0.1 ug/ml)
*   Cytotoxicity against human RPMI cells (ED50 < 0.1 ug/ml)","I encountered an issue when trying to retrieve the toxicity data for Goniodiol 7-acetate (CAS number 96422-53-6) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I will report this issue to the development team.","OK. I found the following availability information for the molecule with SMILES CC(=O)O[C@@H]([C@H]1CC=CC(=O)O1)[C@@H](C2=CC=CC=C2)O:

*   **Availability:** in stock
*   **Best Prices:**
    *   1 mg for $501 USD (95% purity, 35 working days delivery)
    *   5 mg for $501 USD (95% purity, 35 working days delivery)
    *   10 mg for $1001 USD (95% purity, 35 working days delivery)","Goniodiol 7-acetate exhibits cytotoxicity against human KB cells, mouse P388 cells, and human RPMI cells, with ED50 values less than 0.1 ug/ml in each case.",Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"Goniodiol 7-acetate is in stock, with prices of $501 USD for 1 mg or 5 mg, and $1001 USD for 10 mg, all at 95% purity and with a 35 working day delivery time.",Cytotoxic,Cytotoxic,Data retrieval failed,No data,"In stock, expensive","In stock, expensive","The molecule demonstrates potent cytotoxicity against multiple cell lines, which is promising. However, the lack of toxicity data is a significant concern. The molecule is available, but at a high cost and long delivery time. The high cost and lack of toxicity information are major drawbacks.",50
Paniculidine B,97399-94-5,14070748,COn1cc(CC[C@@H](C)CO)c2ccccc21,"I'm sorry, but I couldn't find activity data for Paniculidine B with the provided PubChem CID in the ChEMBL database.","I encountered an issue while retrieving the toxicity data for Paniculidine B with CAS number 97399-94-5. The EPA database returned the data in an unexpected format, and I am unable to provide the toxicity information at this time. I will try again later.","OK. I found some availability information for Paniculidine B (SMILES: COn1cc(CC[C@@H](C)CO)c2ccccc21). It appears to be in stock. Here are some of the best prices:

*   1 mg for $335 USD (delivery in 35 working days)
*   5 mg for $335 USD (delivery in 35 working days)
*   10 mg for $669 USD (delivery in 35 working days)",No activity data for Paniculidine B was found in the ChEMBL database.,The toxicity data retrieval for Paniculidine B from the EPA database failed due to an unexpected data format.,Paniculidine B is in stock. Prices are available for 1mg and 5mg at $335 USD and 10mg at $669 USD with a delivery time of 35 working days.,No activity data,No data,Toxicity data unavailable,No data,"In stock, expensive","In stock, expensive",Activity and toxicity data are unavailable. The compound is in stock but at a high price. The lack of activity and toxicity information makes it difficult to assess its suitability.,30
Diethylene glycol monolaurate,141-20-8,67330,CCCCCCCCCCCC(=O)OCCOCCO,"I'm sorry, I couldn't find activity data for the molecule Diethylene glycol monolaurate with PubChem CID 67330 in the ChEMBL database.","I encountered an issue while trying to fetch the toxicity data for Diethylene glycol monolaurate (CAS number 141-20-8) from the EPA database. The data was returned in an unexpected format, which I am unable to parse at this time. I will report this issue to the development team. Apologies for not being able to fulfill your request.","The molecule Diethylene glycol monolaurate (SMILES: CCCCCCCCCCCC(=O)OCCOCCO) is available in stock with the following best prices:

*   1 mg, 90% purity: $137 USD, delivery in 14 working days
*   5 mg, 90% purity: $137 USD, delivery in 14 working days
*   10 mg, 90% purity: $137 USD, delivery in 14 working days",No activity data was found for Diethylene glycol monolaurate in the ChEMBL database.,Toxicity data for Diethylene glycol monolaurate could not be retrieved from the EPA database due to an unexpected data format.,"Diethylene glycol monolaurate is available in stock, with prices of $137 USD for 1mg, 5mg, and 10mg quantities, all with 90% purity and a delivery time of 14 working days.",No activity data,No data,Toxicity data unavailable,No data,"In stock, relatively expensive","In stock, expensive","Due to the lack of available activity and toxicity data, it is difficult to fully evaluate the molecule. The molecule is available but quite expensive.",30
"Butanoic acid, 2-methyl-, 4-methoxy-2-(3-methyloxiranyl)phenyl ester",97180-28-4,545130,O=C(OC1=CC=C(OC)C=C1C2OC2C)C(C)CC,"I'm sorry, I couldn't retrieve activity information for the molecule with PubChem CID 545130 from the ChEMBL database.","I encountered an issue while trying to fetch the toxicity data for Butanoic acid, 2-methyl-, 4-methoxy-2-(3-methyloxiranyl)phenyl ester with CAS number 97180-28-4. The EPA database returned the data in an unexpected format, which I was unable to parse.","I was unable to retrieve the compound price information for the provided SMILES. There might be an issue with the SMILES itself, or the compound might not be available in the MCULE database. I am unable to analyze the activity and toxicity information.",No activity data could be retrieved from the ChEMBL database for PubChem CID 545130.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"Compound price information could not be retrieved from the MCULE database, potentially due to an issue with the SMILES or the compound's absence in the database.",No data,No data,No data,No data,Not available,No data,"Due to the lack of available data regarding activity, toxicity, and availability, a comprehensive evaluation of the molecule's suitability is impossible.",10
3-Methylpyridine,108-99-6,7970,CC1=CN=CC=C1,"The molecule with PubChem CID 7970 (3-Methylpyridine) has the following activity data:
- It inhibits Thromboxane synthetase (from Homo sapiens) by 66.4% at 100 uM.
- It enhances the binding of (+/-)-[3H]nicotine to the rat brain P2 fraction at binding site 1 (Neuronal acetylcholine receptor) with a Kd of 1800000.0 nM.
- It was evaluated in a primary qHTS assay for delayed death inhibitors of the malarial parasite plastid, but the result was inconclusive.
- The partition coefficient (log P) was also measured.","Toxicity analysis of 3-Methylpyridine (CAS number 108-99-6):

Acute Toxicity:
  - Oral: LD50 values in rats range from 400 to 710 mg/kg.
  - Dermal: LD50 values in rabbits range from 126 to 1000 mg/kg.
  - Inhalation: LC50 < 11820000.0 mg/L (Rat)

Chronic Toxicity:
  -NOAEL values in Rats range from 12 to 37 mg/kg-day
  -NOAEL values in Mouse <18.0 mg/kg-day

Other notable toxicity values:
  - Green Algae: EC50 = 5.7 mg/L
  - Water Flea: NOEC = 1.0 mg/L
  - Fathead Minnow: LC50 = 144.0 mg/L
  - Japanese Medaka: NOEC = 50.0 mg/L
  - Zebra Danio: LC50 = 560.0 mg/L","OK. The compound 3-Methylpyridine (SMILES: CC1=CN=CC=C1) is available. The best prices are: 
* 13 USD for 1 mg, 98% purity, delivery in 11 working days.
* 13 USD for 5 mg, 98% purity, delivery in 11 working days.
* 13 USD for 10 mg, 98% purity, delivery in 11 working days.","3-Methylpyridine inhibits Thromboxane synthetase by 66.4% at 100 uM, enhances nicotine binding to Neuronal acetylcholine receptor with a Kd of 1800000.0 nM, and showed inconclusive results in an assay for malarial parasite plastid inhibitors. A partition coefficient (log P) was also measured.","3-Methylpyridine exhibits acute oral toxicity in rats (LD50: 400-710 mg/kg) and dermal toxicity in rabbits (LD50: 126-1000 mg/kg). Chronic toxicity studies show NOAEL values ranging from 12 to 37 mg/kg-day in rats and <18.0 mg/kg-day in mice. It also displays aquatic toxicity, with EC50 for green algae at 5.7 mg/L and NOEC for water flea at 1.0 mg/L.","3-Methylpyridine is available for purchase. 1, 5, and 10 mg quantities are all priced at 13 USD with 98% purity and a delivery time of 11 working days.","Enzyme inhibitor, Receptor binding enhancer","Enzyme inhibitor, Receptor binding enhancer","Aquatic toxicity, Mammalian toxicity","Aquatic toxicity, Mammalian toxicity",In stock and reasonably priced,In stock,"3-Methylpyridine shows some promise as an enzyme inhibitor, but its high Kd value for acetylcholine receptors is concerning. The toxicity data reveals significant aquatic toxicity, which is a major drawback. While availability is good, the toxicity profile raises concerns about its suitability as a general algicide without significant modifications or targeted delivery systems. Further algicide activity experiments are needed.",40
Ethyl 3-(methylthio)propionate,13327-56-5,61592,CCOC(=O)CCSC,"I'm sorry, I couldn't find activity data in the ChEMBL database for the molecule with PubChem CID 61592.","The molecule Ethyl 3-(methylthio)propionate (CAS number 13327-56-5) has the following toxicity information:

*   **Species:** Rat
*   **Exposure Route:** Oral
*   **Risk Assessment Class:** Acute
*   **Toxicity Value:** LD50 > 5000.0 mg/kg

This indicates that the compound has low acute oral toxicity in rats, with an LD50 (the dose required to kill 50% of a test population) greater than 5000 mg/kg.","The molecule Ethyl 3-(methylthio)propionate (SMILES: CCOC(=O)CCSC) is available in stock. The best prices are:

*   $6 USD for 1 mg with 97% purity, delivery in 14 working days.
*   $6 USD for 5 mg with 97% purity, delivery in 14 working days.
*   $6 USD for 10 mg with 97% purity, delivery in 14 working days.

The confirmed amount available is 500000 mg.",No activity data was found in the ChEMBL database for the molecule with PubChem CID 61592.,"The molecule Ethyl 3-(methylthio)propionate exhibits low acute oral toxicity in rats, with an LD50 greater than 5000 mg/kg.","Ethyl 3-(methylthio)propionate is available in stock with high purity (97%) at a reasonable price ($6 USD) for various amounts (1mg, 5mg, 10mg), with a delivery time of 14 working days. A confirmed amount of 500000 mg is available.",No activity data,No data,Low acute oral toxicity,,"In stock, reasonable price",In stock,"Ethyl 3-(methylthio)propionate shows promise due to its low toxicity and good availability. However, the lack of activity data is a significant drawback. Further investigation is needed to determine its potential algicidal activity.",60
N-(3-(Aminomethyl)benzyl)acetamidine,180001-34-7,1433,NCC1=CC=CC(=C1)C/N=C(/N)\C,"The molecule N-(3-(Aminomethyl)benzyl)acetamidine (PubChem CID: 1433) has several recorded biological activities:

- It inhibits nitric oxide production in Mus musculus cells (IC50 = 6100.0 nM).
- It shows anti-inflammatory activity in LPS/IFN-gamma-stimulated mouse N9 cells (IC50 = 3600.0 nM).
- It inhibits bovine eNOS expressed in insect Sf9 cells (Activity = 107.0 % at 100 uM).
- It inhibits rat recombinant nNOS expressed in insect Sf9 cells (Activity = 43.0 % at 100 uM).
- It shows an inconclusive potency against Anthrax lethal factor (Potency = 31622.8 nM).
- It shows antiviral activity against SARS-CoV-2 (Inhibition = 6.52 % at 10 uM).","I encountered an issue while retrieving the toxicity data for N-(3-(Aminomethyl)benzyl)acetamidine with CAS number 180001-34-7. The EPA database returned the data in an unexpected format, and I am unable to provide the toxicity information at this time. Apologies for the inconvenience.","The molecule N-(3-(Aminomethyl)benzyl)acetamidine with SMILES NCC1=CC=CC(=C1)C/N=C(/N)\C is available in stock with the MCULE ID MCULE-5423476220. Here are some of the best prices:

*   1 mg, 95% purity: $21 USD, delivery in 22 working days
*   5 mg, 98% purity: $28 USD, delivery in 16 working days
*   10 mg, 98% purity: $44 USD, delivery in 16 working days",N-(3-(Aminomethyl)benzyl)acetamidine inhibits nitric oxide production in Mus musculus cells and shows anti-inflammatory activity in mouse N9 cells. It also inhibits bovine and rat eNOS. It shows inconclusive potency against Anthrax lethal factor and weak antiviral activity against SARS-CoV-2.,Toxicity data retrieval failed due to unexpected data format from the EPA database.,"N-(3-(Aminomethyl)benzyl)acetamidine is in stock with MCULE ID MCULE-5423476220. Prices range from $21 for 1mg (95% purity) to $44 for 10mg (98% purity), with delivery times between 16 and 22 working days.","Enzyme inhibitor, anti-inflammatory, antiviral (weak)","Enzyme inhibitor, Anti-inflammatory",Data unavailable,No data,"In stock, reasonable price",In stock,"The molecule shows some promising activity as an enzyme inhibitor and anti-inflammatory agent, but its antiviral activity is weak. Toxicity data is unavailable, which is a significant concern. The compound is readily available at a reasonable price. The lack of toxicity information makes a strong recommendation impossible.",50
"Cytisine, tetrahydro-12-methyl-",18161-95-0,565989,O=C1N2CC3CN(C)CC(C3)C2CCC1,"I'm sorry, I couldn't find activity data for the molecule Cytisine with PubChem CID 565989 in the ChEMBL database.","I encountered an error while trying to fetch the toxicity data for Cytisine with CAS number 18161-95-0. I will try again, and if the issue persists, I'll inform you that I couldn't retrieve the information.","I was unable to retrieve the compound price information for Cytisine due to an issue with the SMILES string provided. I could not obtain the MCULE ID, which is necessary to fetch the price data.",No activity data was found in the ChEMBL database for Cytisine.,An error occurred while attempting to retrieve toxicity data for Cytisine.,The price information for Cytisine could not be retrieved due to issues with the SMILES string and inability to obtain the MCULE ID.,No activity data,No data,Error retrieving toxicity data,No data,Price data unavailable,No data,"Due to the lack of activity, toxicity, and availability data, it is difficult to provide a comprehensive evaluation of Cytisine. The errors encountered prevent any informed decision about its potential as an algicidal molecule. More information is needed for further analysis.",10
"Methyl 1-methyl-2,7-naphthyridine-4-carboxylate",112561-62-3,11127328,CC1=NC=C(C2=C1C=NC=C2)C(=O)OC,"I am sorry, but I couldn't retrieve activity data for the molecule with PubChem CID 11127328 from the ChEMBL database. This could mean that there is no bioactivity information available for this compound in the ChEMBL database.","I encountered an issue while trying to fetch the toxicity data for Methyl 1-methyl-2,7-naphthyridine-4-carboxylate with CAS number 112561-62-3. The EPA database returned the data in an unexpected format, which I was unable to process. I will need to investigate further to resolve this issue.","The molecule Methyl 1-methyl-2,7-naphthyridine-4-carboxylate (SMILES: CC1=NC=C(C2=C1C=NC=C2)C(=O)OC) is potentially purchasable from MCULE. The MCULE ID is MCULE-9698022979. However, there is no information about best prices or confirmed amounts.",No activity data was found in the ChEMBL database for this molecule.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"The molecule is potentially purchasable from MCULE, but price and amount information are not available.",No activity data,No data,Toxicity data unavailable,No data,"Potentially purchasable, price unknown",No data,"Due to the lack of activity and toxicity data, and the limited availability information, it is difficult to assess the molecule's suitability.",30
Quinoline-3-carboxamide,6480-67-7,15561101,C1=CC=C2C(=C1)C=C(C=N2)C(=O)N,"The compound Quinoline-3-carboxamide (PubChem CID: 15561101) has been tested for its inhibitory activity against Saccharomyces cerevisiae GCN5 (Histone acetyltransferase GCN5) at a concentration of 0.6 mM, but it was found to be not active.","I encountered an issue while retrieving the toxicity data for Quinoline-3-carboxamide (CAS number 6480-67-7) from the EPA database. The data was returned in an unexpected format, which I am unable to process. I will need to have the system engineers investigate.","OK. I have analyzed the molecule Quinoline-3-carboxamide with SMILES C1=CC=C2C(=C1)C=C(C=N2)C(=O)N. It is available and in stock (availability type is ""in stock""). The best prices are: 87 USD for 1 mg (97% purity, 15 working days delivery), 87 USD for 5 mg (97% purity, 15 working days delivery), and 87 USD for 10 mg (97% purity, 15 working days delivery). The confirmed amount is 250 mg.",Quinoline-3-carboxamide was found to be not active against Saccharomyces cerevisiae GCN5 at 0.6 mM.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"Quinoline-3-carboxamide is in stock and available for purchase at 87 USD for varying amounts (1mg, 5mg, 10mg) with 97% purity and a 15-day delivery time. A confirmed amount of 250 mg is available.",Not active,No data,Data retrieval failure,No data,In stock,In stock,"Quinoline-3-carboxamide is readily available, but its activity against the tested target was negative. Toxicity data is currently unavailable. Further activity screens against other algal targets are required for a complete evaluation.",50
Clausenamide,103541-15-7,128412,CN1[C@@H]([C@@H]([C@H](C1=O)O)C2=CC=CC=C2)[C@@H](C3=CC=CC=C3)O,"The analysis of Clausenamide (PubChem CID: 128412) reveals the following activity information:

- **Activity**: -9.4%
- **Assay Description**: Nootropic activity in the hippocampus, assessed as an increase in the amplitude of population spikes after 15 minutes by a long-term potentiation enhancement assay relative to control.
- **Target Preferred Name**: NON-PROTEIN TARGET

This indicates that Clausenamide has shown nootropic activity in a specific experimental setup.","I encountered an issue while trying to fetch the toxicity data for Clausenamide (CAS number 103541-15-7) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. Please try again, or provide a different CAS number.","The molecule Clausenamide (SMILES: CN1[C@@H]([C@@H]([C@H](C1=O)O)C2=CC=CC=C2)[C@@H](C3=CC=CC=C3)O) is available in stock. The best prices are:

*   1 mg for $362 USD (95% purity, 7 working days delivery time)
*   5 mg for $883 USD (95% purity, 7 working days delivery time)
*   10 mg for $1074 USD (95% purity, 7 working days delivery time)","Clausenamide shows -9.4% activity in a nootropic assay targeting the hippocampus, assessed by long-term potentiation enhancement.",Toxicity data retrieval from the EPA database failed due to an unexpected data format.,Clausenamide is available in stock with a 95% purity and a delivery time of 7 working days. Prices range from $362 USD for 1 mg to $1074 USD for 10 mg.,Nootropic activity,Nootropic activity,Toxicity data unavailable,No data,"In stock, available at specified prices",In stock,"Clausenamide demonstrates nootropic activity, but toxicity data is unavailable. It is commercially available, but relatively expensive. Its potential as an algicide is unknown based on this information.",50
Parabanic acid,120-89-8,67126,C1(=O)C(=O)NC(=O)N1,"Based on the ChEMBL database, Parabanic acid (PubChem CID: 67126) has some biological activity. One assay showed inconclusive activity with a potency of 130.0 nM. Another assay indicated it was inactive against Mothers against decapentaplegic homolog 3 in Homo sapiens.","I encountered an issue when trying to retrieve the toxicity data for Parabanic acid (CAS number 120-89-8). The EPA database returned the data in an unexpected format, which I was unable to process. I will need to investigate further to resolve this issue. I'm sorry I couldn't provide the toxicity information you requested at this time.","Parabanic acid with SMILES C1(=O)C(=O)NC(=O)N1 is available in stock. The best prices are as follows:

*   10 USD for 1 mg with 98% purity, delivery in 14 working days.
*   10 USD for 5 mg with 98% purity, delivery in 14 working days.
*   10 USD for 10 mg with 98% purity, delivery in 14 working days.

The confirmed amount available is 1000 mg.","Parabanic acid showed inconclusive activity with a potency of 130.0 nM in one assay, and was inactive against Mothers against decapentaplegic homolog 3 in Homo sapiens in another.",Toxicity data retrieval failed due to an unexpected data format from the EPA database.,"Parabanic acid is available in stock at a price of 10 USD for 1-10 mg with 98% purity, with a delivery time of 14 working days. A confirmed amount of 1000 mg is available.",Inconclusive activity,No data,Toxicity data unavailable,No data,In stock and reasonable price,In stock,"The activity is inconclusive, toxicity data is missing, and the compound is readily available. The inconclusive activity warrants further investigation, but the lack of toxicity data is a concern.",50
